source_category,analysis_group,include_mvp
eletronicos,Electronics,1
informatica_acessorios,Computers & Accessories,1
telefonia,Telephony,1
audio,Audio,1
pc_gamer,PC Gaming,1
tablets_impressao_imagem,Tablets & Imaging,1
